time,elapsed_seconds,message
18:37:24,8.77e-05,PEST++ performance logger started
18:37:24,0.0050341,starting to process control file
18:37:24,0.0033513,finished processing control file
18:37:24,0.0042729,starting basic model IO error checking
18:37:24,0.0101487,finished basic model IO error checking
18:37:24,0.0010897,loading parcov
18:37:24,0.0056612,beginning iteration 1
18:37:24,0.0016707,commencing to build jacobian parameter sets
18:37:24,0.0040259,jacobian parameter sets built, commencing model runs
18:37:43,19.0867,jacobian runs complete, processing runs
18:37:43,0.0001797,processing jacobian runs complete
18:37:43,0.001473,saving jacobian and sen files
18:37:43,0.0038121,commencing calculation of upgrade vector
18:37:43,0.0001328,forming JtQJ matrix
18:37:43,3.1e-05,commencing to scale JtQJ matrix- first SVD...
18:37:43,1.2e-05,starting REDSVD
18:37:43,0.0030429,retrieving REDSVD components
18:37:43,0.0003831,triming REDSVD components to 2elements
18:37:43,4.12e-05,done REDSVD
18:37:43,0.0004208,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
18:37:43,1.53e-05,JS
18:37:43,2.35e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:37:43,1.93e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
18:37:43,5.1e-06,commencing SVD factorization of lambda-scaled JtQJ
18:37:43,5.1e-06,starting REDSVD
18:37:43,1.12e-05,retrieving REDSVD components
18:37:43,9.8e-06,triming REDSVD components to 2elements
18:37:43,5.5e-06,done REDSVD
18:37:43,4.7e-06,SVD factorization complete
18:37:43,0.0001548,commencing linear algebra multiplication to compute ugrade
18:37:43,1.49e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3Vt info: rows = 2: cols = 3: size = 6: nonzeros = 6
18:37:43,6.5e-06,U info: rows = 3: cols = 2: size = 6: nonzeros = 6
18:37:43,6.9e-06,jac info: rows = 21: cols = 3: size = 63: nonzeros = 60
18:37:43,0.0004106,linear algebra multiplication to compute ugrade complete
18:37:43,0.0003793,commencing check of parameter bounds and gradients
18:37:43,0.0014917,beginning upgrade vector calculations, lambda = 0.1
18:37:43,0.0002006,commencing calculation of upgrade vector
18:37:43,0.0001193,forming JtQJ matrix
18:37:43,1.58e-05,commencing to scale JtQJ matrix- first SVD...
18:37:43,6e-06,starting REDSVD
18:37:43,1.27e-05,retrieving REDSVD components
18:37:43,3.46e-05,triming REDSVD components to 2elements
18:37:43,9.8e-06,done REDSVD
18:37:43,2.15e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
18:37:43,7.4e-06,JS
18:37:43,7.6e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:37:43,1.51e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
18:37:43,5.5e-06,commencing SVD factorization of lambda-scaled JtQJ
18:37:43,5.1e-06,starting REDSVD
18:37:43,1.06e-05,retrieving REDSVD components
18:37:43,6.9e-06,triming REDSVD components to 2elements
18:37:43,5.9e-06,done REDSVD
18:37:43,5.2e-06,SVD factorization complete
18:37:43,0.0003012,commencing linear algebra multiplication to compute ugrade
18:37:43,9.7e-06,S info: rows = 3: cols = 3: size = 9: nonzeros = 3Vt info: rows = 2: cols = 3: size = 6: nonzeros = 6
18:37:43,6.8e-06,U info: rows = 3: cols = 2: size = 6: nonzeros = 6
18:37:43,6.9e-06,jac info: rows = 21: cols = 3: size = 63: nonzeros = 60
18:37:43,2.48e-05,linear algebra multiplication to compute ugrade complete
18:37:43,1.1e-05,commencing check of parameter bounds and gradients
18:37:43,7.2e-06,commencing calculation of upgrade vector
18:37:43,7.86e-05,forming JtQJ matrix
18:37:43,2.46e-05,commencing to scale JtQJ matrix- first SVD...
18:37:43,4.7e-06,starting REDSVD
18:37:43,1.11e-05,retrieving REDSVD components
18:37:43,6.9e-06,triming REDSVD components to 2elements
18:37:43,8.5e-06,done REDSVD
18:37:43,9e-06,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
18:37:43,4.7e-06,JS
18:37:43,6.6e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
18:37:43,1.34e-05,S info: rows = 3: cols = 3: size = 9: nonzeros = 3
18:37:43,4.7e-06,commencing SVD factorization of lambda-scaled JtQJ
18:37:43,4.5e-06,starting REDSVD
18:37:43,3.85e-05,retrieving REDSVD components
18:37:43,9.5e-06,triming REDSVD components to 2elements
18:37:43,5.6e-06,done REDSVD
18:37:43,4.8e-06,SVD factorization complete
18:37:43,5.02e-05,commencing linear algebra multiplication to compute ugrade
18:37:43,9.1e-06,S info: rows = 3: cols = 3: size = 9: nonzeros = 3Vt info: rows = 2: cols = 3: size = 6: nonzeros = 6
18:37:43,6.1e-06,U info: rows = 3: cols = 2: size = 6: nonzeros = 6
18:37:43,6.1e-06,jac info: rows = 21: cols = 3: size = 63: nonzeros = 60
18:37:43,2.08e-05,linear algebra multiplication to compute ugrade complete
18:37:43,8.4e-06,commencing check of parameter bounds
18:37:43,5e-06,limiting out of bounds pars
18:37:43,2.81e-05,change limit/bound enforement for lambda 0.1: lower change limit,SY, scaling factor: 0.931325
18:37:43,5.1e-06,checking for denormal floating point values
18:37:43,5.2e-06,transforming upgrade pars to model pars
18:37:43,5.2e-06,writing upgrade vector to csv file
18:37:43,0.0002304,beginning upgrade vector calculations, lambda = 1
18:37:43,0.0001118,commencing calculation of upgrade vector
